actor_name,actor_slug
Кенни Кван,kenni-kvan
Чхве Тхэ Джун,chkhve-tkhe-dzhun
Пэн Юй Чан,pen-iui-chan
Чжу Вон,chzhu-von
Чан У Ён,chan-u-ion
Байферн Пимчанок Лывисетпайбун,baifern-pimchanok-lyvisetpaibun
Чон Э Ён,chon-e-ion
Мицусима Хикари,mitsusima-khikari
Ю Ра,iu-ra
Солли,solli
Чан Дон Юн,chan-don-iun
Чжао Шунь Жань,chzhao-shun-zhan
Пак Ха На,pak-kha-na
Гуань Цзинь Линь,guan-tszin-lin
Баро,baro
Тея Си,teia-si
Байтой Зувапит Трайпонворакит,baitoi-zuvapit-traiponvorakit
Каясима Мидзуки,kaiasima-midzuki
Пань Мэй Е,pan-mei-e
Чхве Ю Джу,chkhve-iu-dzhu
Хэ Чжун Хуа,khe-chzhun-khua
Е Цин,e-tsin
Китамура Такуми,kitamura-takumi
Ким Сон О,kim-son-o
Пён У Сок,pion-u-sok
Пэ Хён Сон,pe-khion-son
Чэнь Фан Тун,chen-fan-tun
Кан Чан Хи,kan-chan-khi
Хани,khani
Пак Хан Соль,pak-khan-sol
Ямасита Мидзуки,iamasita-midzuki
О Юн А,o-iun-a
Чо Бо А,cho-bo-a
Ма Тянь Юй,ma-tian-iui
Кимура Такуя,kimura-takuia
Майк Хэ,maik-khe
Ли Си Хун,li-si-khun
У До Хван,u-do-khvan
Тун Пимпави Кокрабин,tun-pimpavi-kokrabin
Вэнь Шэнь Хао,ven-shen-khao
Пэ Да Бин,pe-da-bin
Ким Дон Хви,kim-don-khvi
Лю Жуй Линь,liu-zhui-lin
Ким Кан У,kim-kan-u
Ким Сан Хо,kim-san-kho
Лай Си Лун,lai-si-lun
Рой Цю,roi-tsiu
У Си Цзэ,u-si-tsze
Чан Хи Джин,chan-khi-dzhin
Омидзу Ёсукэ,omidzu-iosuke
Ян Чао Юэ,ian-chao-iue
Чо Джин Ун,cho-dzhin-un
Майд Лапасалан Тжираветсунтонкун,maid-lapasalan-tzhiravetsuntonkun
Нам Гун Мин,nam-gun-min
Хасимото Канна,khasimoto-kanna
Чжан Цзя Ни,chzhan-tszia-ni
Ли Цинь,li-tsin
Им Джи Ён,im-dzhi-ion
Ли Вэнь Хань,li-ven-khan
Со И Сук,so-i-suk
Дженни Панан,dzhenni-panan
Юй Сюань Чэнь,iui-siuan-chen
Юй Чэн Энь,iui-chen-en
Чжан Тао,chzhan-tao
Чжао Ин Бо,chzhao-in-bo
Накамура Юрика,nakamura-iurika
Чэнь Син Сюй,chen-sin-siui
Крис Филлипс,kris-fillips
Ян Сюэ Эр,ian-siue-er
Го А Ра,go-a-ra
Ли Чон Джэ,li-chon-dzhe
Такахата Мицуки,takakhata-mitsuki
Ким Ён Мин,kim-ion-min
Тань Сун Юнь,tan-sun-iun
Шао Юй Ци,shao-iui-tsi
Чхве Даниель,chkhve-daniel
Фуджигая Тайске,fudzhigaia-taiske
Уэто Ая,ueto-aia
Ли Хо Вон,li-kho-von
Асакава Нана,asakava-nana
Цзэн Ли,tszen-li
